sample_index,mean_trace,std_trace
0,-0.34263843,0.0042838543
1,-0.23446177,0.0055567436
2,0.2607942,0.004953819
3,0.075456984,0.0042002206
4,-0.31946358,0.0042591686
5,-0.037523244,0.0037339483
6,0.3813508,0.004235056
7,0.1467211,0.00369488
8,-0.32927808,0.0038328175
9,-0.050480664,0.0034303132
10,0.39028975,0.004080215
11,0.15332295,0.0041100266
12,-0.27405888,0.0042621945
13,-0.018284619,0.003502316
14,0.38971347,0.0042615137
15,0.1509209,0.003661528
16,-0.2755162,0.004028007
17,-0.015936865,0.0034680017
18,0.3930723,0.0041741473
19,0.15042989,0.0035580837
20,-0.27408993,0.003858177
21,-0.015276465,0.0035395003
22,0.3905138,0.0043648793
23,0.14782354,0.0035557381
24,-0.29828775,0.0040463516
25,-0.22356533,0.006005835
26,0.26193824,0.005106295
27,0.07100029,0.0038457948
28,-0.31409234,0.0039854688
29,-0.03888125,0.0034274668
30,0.37588233,0.003998939
31,0.13764796,0.003761188
32,-0.2715643,0.0038703636
33,-0.01622959,0.003537273
34,0.38830033,0.003994697
35,0.14412397,0.0034474453
36,-0.2720476,0.0036541172
37,-0.02193496,0.003382515
38,0.38366655,0.0041450504
39,0.14076865,0.0036036638
40,-0.30840215,0.0036910926
41,-0.2191372,0.0055117197
42,0.26174948,0.004435346
43,0.06862002,0.003953632
44,-0.3502501,0.0040274663
45,-0.24833687,0.0048990245
46,0.24724004,0.004390825
47,0.061978713,0.0040671276
48,-0.3711335,0.003919497
49,-0.26077232,0.005114876
50,0.24115014,0.0048220344
51,0.0604083,0.0040209936
52,-0.32187372,0.004032299
53,-0.040635888,0.003752505
54,0.377606,0.004308409
55,0.14148863,0.0037406227
56,-0.26118657,0.003901793
57,-0.0061469725,0.0038521832
58,0.39752436,0.004270381
59,0.15221597,0.0034682225
60,-0.280159,0.003840249
61,-0.024520215,0.0038622415
62,0.38483706,0.0043576835
63,0.14415361,0.003815092
64,-0.2801204,0.0037141838
65,-0.020412989,0.0035201882
66,0.38662687,0.0041482886
67,0.14483199,0.0037937511
68,-0.28071007,0.0041061514
69,-0.022110302,0.0036005187
70,0.38506994,0.004171757
71,0.14207631,0.003613724
72,-0.28414062,0.0035558974
73,-0.025517968,0.0035391438
74,0.38075092,0.0041955025
75,0.13835435,0.0036395947
76,-0.29070318,0.0036062568
77,-0.030960351,0.0033194006
78,0.37671593,0.003976769
79,0.13453583,0.0034388867
80,-0.30090693,0.0036944165
81,-0.038094774,0.0037557515
82,0.37153047,0.0040999986
83,0.13020444,0.003594176
84,-0.28169367,0.0037581152
85,-0.02667583,0.0038776477
86,0.3772662,0.004030908
87,0.132748,0.0036035702
88,-0.2836523,0.003662505
89,-0.029087013,0.00397786
90,0.37459195,0.004392001
91,0.13009545,0.003799009
92,-0.28623316,0.0037250156
93,-0.03187959,0.0035761483
94,0.37189248,0.0042702714
95,0.12743223,0.003572652
96,-0.32193053,0.0039448584
97,-0.23314653,0.005269089
98,0.24684024,0.005061682
99,0.05302046,0.004139883
100,-0.33219376,0.0038440872
101,-0.058207814,0.0036627017
102,0.35614643,0.004142043
103,0.11823481,0.003385593
104,-0.29890868,0.0038590014
105,-0.040162254,0.003665487
106,0.36666963,0.004169639
107,0.123812936,0.0035881072
108,-0.30060244,0.0037355458
109,-0.046064403,0.0036843107
110,0.36252904,0.0042564655
111,0.12160557,0.003620788
112,-0.32945338,0.0038844717
113,-0.23303697,0.005089047
114,0.2473523,0.0045759007
115,0.05385542,0.0036943974
116,-0.37068623,0.0039011075
117,-0.2698983,0.005081057
118,0.22770864,0.0049182554
119,0.045130175,0.0041617705
120,-0.3625134,0.004109792
121,-0.25124136,0.005009474
122,0.24274252,0.0046791197
123,0.056550976,0.003820712
124,-0.3227791,0.0042541833
125,-0.046184473,0.0035843733
126,0.3694143,0.004495301
127,0.1316001,0.0036473293
128,-0.28733185,0.0035936234
129,-0.027671631,0.0035657862
130,0.37973395,0.004109438
131,0.13677046,0.0037148087
132,-0.3282357,0.003905961
133,-0.23980713,0.0046536694
134,0.24999717,0.0042978064
135,0.06178057,0.0035924364
136,-0.35773256,0.0037753794
137,-0.24649078,0.005127335
138,0.24816918,0.0045298194
139,0.0630753,0.003749208
140,-0.34719405,0.0036100186
141,-0.23991816,0.004988625
142,0.25435928,0.0044614677
143,0.068512015,0.0036625788
144,-0.31227675,0.0036940826
145,-0.03528418,0.003625685
146,0.38030678,0.004152797
147,0.14268593,0.004076736
148,-0.26824272,0.004098101
149,-0.011528271,0.0037899693
150,0.39352593,0.0039816895
151,0.14931655,0.003950545
152,-0.27698058,0.0042614006
153,-0.023067968,0.0039831777
154,0.38397187,0.0043385453
155,0.1435745,0.003957124
156,-0.30446264,0.0040880507
157,-0.20281523,0.0051640007
158,0.27296236,0.0044446457
159,0.07726192,0.003743616
160,-0.31202894,0.0038982828
161,-0.03861831,0.0038161473
162,0.3754271,0.00439718
163,0.13756417,0.0040082955
164,-0.27094835,0.0039706975
165,-0.015653906,0.0037018382
166,0.38836163,0.0039096554
167,0.14381792,0.003657497
168,-0.26662642,0.00400195
169,-0.018585742,0.0037223212
170,0.38536826,0.0041841115
171,0.14180024,0.0037285194
172,-0.27806678,0.0036557505
173,-0.021731446,0.003664851
174,0.38278908,0.0038551653
175,0.13926587,0.0033832393
176,-0.28265786,0.0037155335
177,-0.026059326,0.0033512467
178,0.3790211,0.004170167
179,0.13552046,0.0037206768
180,-0.29601532,0.0039507295
181,-0.035933692,0.00369541
182,0.3710871,0.003958451
183,0.12955102,0.0033964312
184,-0.3487356,0.0039747236
185,-0.24266821,0.004652581
186,0.24256016,0.0045887935
187,0.053306837,0.0038399259
188,-0.32647172,0.0038304143
189,-0.051719923,0.0037236926
190,0.36308306,0.0039808964
191,0.12493443,0.003558748
192,-0.29387945,0.003935717
193,-0.034666795,0.0033824402
194,0.37289384,0.004201398
195,0.13013369,0.0038318068
196,-0.32432348,0.0039907275
197,-0.24207993,0.005084047
198,0.24658877,0.0045940587
199,0.05663623,0.0040146364
200,-0.36338246,0.0043847617
201,-0.2526834,0.0054654065
202,0.24183804,0.00481739
203,0.056340236,0.003726546
204,-0.34248033,0.003904277
205,-0.058948047,0.003621705
206,0.3620541,0.00408351
207,0.12761568,0.003409615
208,-0.29102919,0.0036394799
209,-0.028826807,0.003591286
210,0.3795079,0.0045199823
211,0.13722749,0.0038222389
212,-0.27476266,0.003909272
213,-0.023655225,0.0033978848
214,0.3804668,0.0039517744
215,0.13862276,0.0036677758
216,-0.29297256,0.0039892374
217,-0.03229824,0.0035022362
218,0.37656748,0.0042926366
219,0.13504243,0.0039207544
220,-0.30364907,0.0042424006
221,-0.03973911,0.0038404325
222,0.37076378,0.0041175485
223,0.1302732,0.0037517124
224,-0.2975242,0.004196897
225,-0.036466554,0.0038034928
226,0.3703035,0.004234427
227,0.12906441,0.0035048919
228,-0.331041,0.0038419103
229,-0.2412542,0.0050740815
230,0.24476333,0.004989624
231,0.05434673,0.0040886165
232,-0.33970055,0.0038869493
233,-0.06028462,0.0037277332
234,0.3572634,0.0044008982
235,0.121334374,0.0036660437
236,-0.28919125,0.0036898905
237,-0.031536523,0.0037352862
238,0.37489063,0.004316403
239,0.13106953,0.0036947404
240,-0.27956542,0.003925975
241,-0.03012251,0.0036783686
242,0.37451518,0.004059606
243,0.13102944,0.0036791384
244,-0.33044532,0.004066943
245,-0.2314668,0.004861247
246,0.24986622,0.004346394
247,0.0573438,0.0037086147
248,-0.38731298,0.0038858205
249,-0.27972066,0.005469216
250,0.22378321,0.004756954
251,0.044849217,0.004211918
252,-0.36959657,0.0042807106
253,-0.25798956,0.0053232554
254,0.24021563,0.004887018
255,0.05703657,0.0039014362
256,-0.36296886,0.003918758
257,-0.25722423,0.005226608
258,0.24299835,0.0046037687
259,0.061218947,0.0038572487
260,-0.31609878,0.0041568233
261,-0.03741846,0.0036553862
262,0.3796878,0.0041636582
263,0.14211841,0.0035109958
264,-0.30142534,0.0035974146
265,-0.20979287,0.004793491
266,0.27453756,0.0047197184
267,0.08116523,0.0039145313
268,-0.31374952,0.004221977
269,-0.03656377,0.0035481446
270,0.37982827,0.0039694905
271,0.14321314,0.0036867284
272,-0.32720372,0.0038958667
273,-0.22679536,0.004951677
274,0.2629861,0.0046594255
275,0.07488931,0.003849287
276,-0.34670416,0.0037216856
