byte_index,start,stop,mean,abs_mean,energy,ptp,value,hw,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7
0,0,93,0.024311000155785713,0.21392790186569416,5.810536753262334,0.7686578631401062,236,5,0,0,1,1,0,1,1,1
1,93,187,0.0060469875845344774,0.21481846162970078,5.784318521413055,0.7642121613025665,146,3,0,1,0,0,1,0,0,1
2,187,281,-0.009993144311010838,0.21674665045785776,5.813304875812166,0.7677797675132751,220,5,0,0,1,1,1,0,1,1
3,281,375,0.01938606993334883,0.21362769504156995,5.84682297572798,0.7731829881668091,206,5,0,1,1,1,0,0,1,1
4,375,468,0.013493888530760043,0.21394108775602552,5.675412930987698,0.7589164078235626,39,4,1,1,1,0,0,1,0,0
5,468,562,0.01155577671337635,0.21201068289736483,5.789787886288601,0.7753931879997253,117,5,1,0,1,0,1,1,1,0
6,562,656,0.012437309802291876,0.2159235468233361,5.933429045394398,0.7757457494735718,24,2,0,0,0,1,1,0,0,0
7,656,750,-0.0002972494533404391,0.2144985473021231,5.838477652780436,0.7721005380153656,53,4,1,0,1,0,1,1,0,0
8,750,843,0.006303648133912394,0.21786671734705407,5.907095905103647,0.7730954885482788,125,6,1,0,1,1,1,1,1,0
9,843,937,0.013312988478611124,0.2138504262894709,5.844791970738598,0.7718290984630585,26,3,0,1,0,1,1,0,0,0
10,937,1031,0.014202143214246694,0.2139742209457178,5.852091552696204,0.7731820344924927,83,4,1,1,0,0,1,0,1,0
11,1031,1125,0.006842336141841209,0.21519561981821947,5.884976865732859,0.7732577621936798,44,3,0,0,1,1,0,1,0,0
12,1125,1218,0.003129264189591331,0.21378618936424934,5.762152918983619,0.7746162116527557,226,4,0,1,0,0,0,1,1,1
13,1218,1312,0.007801646545053797,0.21709951475024858,5.931819666856672,0.7736571729183197,60,4,0,0,1,1,1,1,0,0
14,1312,1406,0.009606238276241942,0.21509473598463105,5.892335288863572,0.77323317527771,151,5,1,1,1,0,1,0,0,1
15,1406,1500,0.018636313415667478,0.212434452453113,5.798103616870837,0.7730359137058258,209,4,1,0,0,0,1,0,1,1
16,1500,1593,0.0059961710946374045,0.2159052920697998,5.857796113748215,0.772108256816864,143,5,1,1,1,1,0,0,0,1
17,1593,1687,0.007134350353574499,0.21534427059219874,5.8987892256826955,0.7715546190738678,168,3,0,0,0,1,0,1,0,1
18,1687,1781,0.0006992231281672387,0.21571004516544176,5.849555420295207,0.7740463316440582,231,6,1,1,1,0,0,1,1,1
19,1781,1875,0.014860724663718584,0.2147402300578641,5.8791313341801015,0.7751742303371429,189,6,1,0,1,1,1,1,0,1
20,1875,1968,0.015830242936249062,0.21232414202544317,5.745968179820714,0.772797167301178,67,3,1,1,0,0,0,0,1,0
21,1968,2062,0.005625133145045727,0.21390398413418454,5.860184857102965,0.7730201184749603,91,5,1,1,0,1,1,0,1,0
22,2062,2156,0.008966536855602518,0.2166266184339815,5.921502136038075,0.7730549275875092,246,6,0,1,1,0,1,1,1,1
23,2156,2250,-0.012699967177545755,0.2198582370006176,5.826596425180657,0.7790058553218842,237,6,1,0,1,1,0,1,1,1
24,2250,2343,0.031052131650178262,0.21272178306069064,5.757111431581978,0.7789303064346313,95,6,1,1,1,1,1,0,1,0
25,2343,2437,0.00324457433035082,0.21383783553152325,5.722760673134305,0.7639975547790527,77,4,1,0,1,1,0,0,1,0
26,2437,2531,0.006179131884524163,0.21554474271041282,5.863306901666156,0.7741672992706299,107,5,1,1,0,1,0,1,1,0
27,2531,2625,0.0063877353107834114,0.21610665954451294,5.795555890852598,0.7646849155426025,57,4,1,0,0,1,1,1,0,0
28,2625,2718,0.008776390001237873,0.21618259648832502,5.7389006461522145,0.7620634436607361,123,6,1,1,0,1,1,1,1,0
29,2718,2812,0.007784326283380072,0.21672884143017074,5.761571837434893,0.7670702636241913,169,4,1,0,0,1,0,1,0,1
30,2812,2906,0.02830321963460363,0.2114255677492536,5.772899131070699,0.7549850642681122,240,4,0,0,0,0,1,1,1,1
31,2906,3000,0.003018580486086455,0.21721975423118217,5.858897973296754,0.772266149520874,254,7,0,1,1,1,1,1,1,1
