byte_index,start,stop,mean,abs_mean,energy,ptp,value,hw,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7
0,0,93,0.0228172514439931,0.05481962446919492,0.3604543324546376,0.2318115159869194,70,3,0,1,1,0,0,0,1,0
1,93,187,-0.00019333853158465725,0.054408088913484615,0.3895266346494118,0.23656006157398224,63,6,1,1,1,1,1,1,0,0
2,187,281,-0.008617826598755856,0.056951748717457375,0.43725676694612403,0.23357421904802322,192,2,0,0,0,0,0,0,1,1
3,281,375,0.006484504824410133,0.061224780927853106,0.4668883332316437,0.24016600847244263,153,4,1,0,0,1,1,0,0,1
4,375,468,0.013709782154276786,0.05500498792796236,0.3646841652452884,0.21546142548322678,25,3,1,0,0,1,1,0,0,0
5,468,562,0.007456574131093146,0.049849048239226014,0.3438767571098148,0.23795899003744125,71,4,1,1,1,0,0,0,1,0
6,562,656,-0.00016817095332798807,0.057803643396758336,0.4481673533946861,0.23997069895267487,156,4,0,0,1,1,1,0,0,1
7,656,750,-0.002360709719954336,0.057407719732083855,0.44400008080641884,0.23810546100139618,214,5,0,1,1,0,1,0,1,1
8,750,843,-0.0009625704448309637,0.05820388615792317,0.44804621884527296,0.23719482123851776,104,3,0,0,0,1,0,1,1,0
9,843,937,0.01438520712024988,0.0526349265920989,0.35099134296236656,0.23682373017072678,223,7,1,1,1,1,1,0,1,1
10,937,1031,0.002594981327692562,0.05907078530698856,0.4525150573703439,0.2365747094154358,151,5,1,1,1,0,1,0,0,1
11,1031,1125,0.0022680662730906872,0.05739460409955775,0.4410453302910666,0.2382495030760765,1,1,1,0,0,0,0,0,0,0
12,1125,1218,-0.002254126663570122,0.05787093625954723,0.44284282629329197,0.23789062350988388,199,5,1,1,1,0,0,0,1,1
13,1218,1312,-0.0008379736310861846,0.0580910797716376,0.451116429012477,0.23807617276906967,101,4,1,0,1,0,0,1,1,0
14,1312,1406,0.013009111136891582,0.05365073365565548,0.3681352687660839,0.2369067370891571,105,4,1,0,0,1,0,1,1,0
15,1406,1500,0.00414013142321021,0.05803292788604789,0.43692864057062497,0.23787108808755875,188,5,0,0,1,1,1,1,0,1
16,1500,1593,0.002620206590020849,0.0575133095775801,0.43401427963095,0.2369970753788948,170,4,0,1,0,1,0,1,0,1
17,1593,1687,-0.0014061980157535762,0.05771266197924443,0.44287646571195555,0.2372094765305519,196,3,0,0,1,0,0,0,1,1
18,1687,1781,-0.0016257428128193033,0.05787231453119757,0.446734691529998,0.23682372272014618,59,5,1,1,0,1,1,1,0,0
19,1781,1875,0.012206407902920817,0.054398894830151125,0.37907272776124973,0.2389257848262787,124,5,0,0,1,1,1,1,1,0
20,1875,1968,0.005160555038200591,0.057610099479275687,0.4268636694794446,0.2373022511601448,165,4,1,0,1,0,0,1,0,1
21,1968,2062,0.0029855280956055255,0.0573694627494254,0.4368529190526749,0.2373364269733429,65,2,1,0,0,0,0,0,1,0
22,2062,2156,-0.0013364101215166614,0.05793033672516492,0.44842671707066445,0.23745117336511612,170,4,0,1,0,1,0,1,0,1
23,2156,2250,-0.009108393376896238,0.057669833800978364,0.42964204032949865,0.22309326380491257,160,2,0,0,0,0,0,1,0,1
24,2250,2343,0.02375808554971891,0.05755308090699136,0.3836631936386174,0.23261474817991257,114,4,0,1,0,0,1,1,1,0
25,2343,2437,-0.004621244204091899,0.052909766313956774,0.38275903992104326,0.23476074635982513,177,4,1,0,0,0,1,1,0,1
26,2437,2531,0.004113821654600349,0.05438663556359391,0.3873570288196387,0.22956541925668716,2,1,0,1,0,0,0,0,0,0
27,2531,2625,0.0023830720865009153,0.06206574132343992,0.4720604519027943,0.23469726741313934,53,4,1,0,1,0,1,1,0,0
28,2625,2718,0.005461609650713702,0.06065419191990288,0.4456668199651674,0.23700683563947678,154,4,0,1,0,1,1,0,0,1
29,2718,2812,-0.002395045695866042,0.05302788890858597,0.37348835255303275,0.21471191197633743,30,4,0,1,1,1,1,0,0,0
30,2812,2906,0.009473071887499672,0.05324000591459248,0.354992442499594,0.21233642846345901,19,3,1,1,0,0,1,0,0,0
31,2906,3000,0.013093001887875986,0.056351552090726474,0.38740813691509485,0.21970947086811066,197,4,1,0,1,0,0,0,1,1
