feature,model,corr,abs_corr
abs_mean,bit_3,0.4587151669340742,0.4587151669340742
abs_mean,hw,0.33669872032150305,0.33669872032150305
abs_mean,bit_5,0.32840633266325914,0.32840633266325914
energy,bit_0,-0.3084608384346585,0.3084608384346585
energy,bit_4,0.24969384351365734,0.24969384351365734
energy,bit_3,0.24952131767820493,0.24952131767820493
abs_mean,bit_2,0.2486272606575443,0.2486272606575443
ptp,bit_2,0.24121682842806616,0.24121682842806616
energy,bit_6,-0.22260053453086465,0.22260053453086465
ptp,hw,0.21216348935576365,0.21216348935576365
mean,bit_5,-0.17156565557416484,0.17156565557416484
energy,bit_2,0.16952167006085686,0.16952167006085686
mean,bit_2,-0.16352027997799595,0.16352027997799595
abs_mean,bit_6,-0.16253718185496915,0.16253718185496915
abs_mean,value,0.15891258422821464,0.15891258422821464
abs_mean,bit_7,0.15429975920996414,0.15429975920996414
abs_mean,bit_1,-0.14575112981822652,0.14575112981822652
ptp,bit_3,0.14436295411159783,0.14436295411159783
mean,bit_4,0.1388513419333935,0.1388513419333935
mean,bit_3,-0.13187224780856022,0.13187224780856022
mean,hw,-0.13001422988029998,0.13001422988029998
ptp,bit_5,-0.12505917202945405,0.12505917202945405
energy,bit_1,-0.12462955495637143,0.12462955495637143
mean,bit_1,0.11319672609093877,0.11319672609093877
ptp,bit_6,0.10658737302882253,0.10658737302882253
mean,bit_7,-0.09538555938331483,0.09538555938331483
energy,bit_7,0.09464005283465672,0.09464005283465672
ptp,bit_0,0.09168424608487667,0.09168424608487667
mean,value,-0.08586651100293403,0.08586651100293403
ptp,bit_1,0.07248432230060171,0.07248432230060171
mean,bit_0,-0.0680804201117124,0.0680804201117124
mean,bit_6,0.06784471137340434,0.06784471137340434
energy,hw,0.06381892826254904,0.06381892826254904
energy,bit_5,0.04686387608959647,0.04686387608959647
abs_mean,bit_4,-0.039998887434834124,0.039998887434834124
energy,value,0.03776661724764792,0.03776661724764792
abs_mean,bit_0,-0.03512977459823113,0.03512977459823113
ptp,value,0.018912589063723634,0.018912589063723634
ptp,bit_7,-0.016645364241311463,0.016645364241311463
ptp,bit_4,-0.010176965248289831,0.010176965248289831
