feature,model,corr,abs_corr
ptp,bit_5,-0.32775316860798726,0.32775316860798726
mean,bit_1,0.28703145631740423,0.28703145631740423
ptp,value,-0.24421214572764158,0.24421214572764158
ptp,bit_7,-0.21893319739724088,0.21893319739724088
ptp,bit_4,0.20978407296143914,0.20978407296143914
abs_mean,bit_3,0.19006641420655937,0.19006641420655937
mean,hw,0.17971860177162355,0.17971860177162355
abs_mean,bit_1,0.14969262227194574,0.14969262227194574
mean,bit_4,0.14625174162412355,0.14625174162412355
abs_mean,bit_6,0.1330109093598044,0.1330109093598044
energy,bit_3,0.1161430378923462,0.1161430378923462
ptp,hw,-0.1143312313619047,0.1143312313619047
abs_mean,hw,0.1104347213538008,0.1104347213538008
mean,bit_2,0.10752273229484638,0.10752273229484638
abs_mean,bit_2,-0.10713100276160273,0.10713100276160273
energy,bit_2,-0.09913858441866191,0.09913858441866191
energy,bit_6,0.08365465683056243,0.08365465683056243
mean,bit_7,-0.07836673900426107,0.07836673900426107
energy,bit_7,-0.06449589979748054,0.06449589979748054
mean,bit_5,-0.06338004423675897,0.06338004423675897
abs_mean,bit_7,-0.06092809086147171,0.06092809086147171
energy,bit_0,-0.05629062835390611,0.05629062835390611
mean,value,-0.0555693805296257,0.0555693805296257
ptp,bit_1,0.046745112745628016,0.046745112745628016
ptp,bit_3,0.045630058141830916,0.045630058141830916
energy,bit_5,-0.03520620015399607,0.03520620015399607
abs_mean,bit_0,-0.030681553681810435,0.030681553681810435
abs_mean,bit_5,-0.028894558150534478,0.028894558150534478
energy,value,-0.024557549162439195,0.024557549162439195
ptp,bit_6,-0.02334283031047781,0.02334283031047781
energy,hw,-0.02159954413621401,0.02159954413621401
abs_mean,bit_4,0.020347907159861765,0.020347907159861765
mean,bit_3,0.01610346870231258,0.01610346870231258
ptp,bit_0,-0.010290933756496083,0.010290933756496083
ptp,bit_2,0.009244231891068216,0.009244231891068216
abs_mean,value,0.008751071612234434,0.008751071612234434
energy,bit_1,0.006461127349861936,0.006461127349861936
mean,bit_6,0.0063636843770841795,0.0063636843770841795
mean,bit_0,0.002330707252250925,0.002330707252250925
energy,bit_4,0.0010795928979278192,0.0010795928979278192
