feature,model,corr,abs_corr
abs_mean,value,-0.39297523676734475,0.39297523676734475
energy,hw,-0.3183627189771961,0.3183627189771961
mean,bit_5,0.3102645967578504,0.3102645967578504
abs_mean,hw,-0.2940906995826397,0.2940906995826397
ptp,bit_4,-0.2889009917688105,0.2889009917688105
energy,bit_5,-0.28395801621907557,0.28395801621907557
mean,hw,0.2838636227751225,0.2838636227751225
abs_mean,bit_6,-0.2757954700359878,0.2757954700359878
energy,value,-0.25787035053762325,0.25787035053762325
abs_mean,bit_7,-0.24970697824827595,0.24970697824827595
energy,bit_6,-0.2148896958098108,0.2148896958098108
ptp,bit_5,-0.20989934183584016,0.20989934183584016
abs_mean,bit_4,0.17759482678683164,0.17759482678683164
ptp,bit_6,0.16586446911963723,0.16586446911963723
abs_mean,bit_1,-0.14955715202590922,0.14955715202590922
abs_mean,bit_5,-0.14717385375983255,0.14717385375983255
mean,bit_2,0.14091883278602044,0.14091883278602044
mean,bit_0,0.13911661993920468,0.13911661993920468
ptp,bit_2,-0.13475190509357532,0.13475190509357532
energy,bit_1,-0.13276203774131012,0.13276203774131012
mean,bit_7,-0.12804216136953822,0.12804216136953822
ptp,bit_3,0.1144061045685101,0.1144061045685101
energy,bit_4,0.11293057888259767,0.11293057888259767
ptp,hw,-0.11229405311052981,0.11229405311052981
mean,bit_6,0.09935726616766814,0.09935726616766814
energy,bit_7,-0.09921978069626088,0.09921978069626088
ptp,bit_0,0.07875116076182417,0.07875116076182417
abs_mean,bit_3,-0.06062880150056933,0.06062880150056933
abs_mean,bit_2,0.050674945656487724,0.050674945656487724
energy,bit_2,-0.04045413936009553,0.04045413936009553
ptp,bit_1,0.03858452268705157,0.03858452268705157
abs_mean,bit_0,0.03241881465782422,0.03241881465782422
mean,bit_1,0.02574316655902141,0.02574316655902141
energy,bit_0,-0.017235883813434823,0.017235883813434823
ptp,value,-0.013759618030906797,0.013759618030906797
ptp,bit_7,-0.012925642301393222,0.012925642301393222
mean,bit_4,0.011880773233225903,0.011880773233225903
mean,bit_3,0.009474897145744437,0.009474897145744437
mean,value,0.0059791822374109975,0.0059791822374109975
energy,bit_3,-0.00042441528394467385,0.00042441528394467385
